Depth (cm),Age (yr BP),Age,Age (yr BP) (age model suggested by S. Aagaard-Sorensen),IP25,IPSO25,HBI_III,HBI_IV,I,II,III,IV,PIP25,SpSIC
0,0,0,0,1.46,11.8,14.9,7.8,4.06006674,32.81423804,41.4349277,21.69076752,0.134599428,6.112096113
0.5,53,0.053,53,1.22,5.6,3,1.6,10.68301226,49.03677758,26.26970228,14.01050788,0.392282958,30.19466899
1.5,159,0.159,159,1.42,7.8,6.9,3.3,7.31204943,40.16477858,35.53038105,16.99279094,0.246228542,16.54472352
3.25,317,0.317,317,1.05,6.6,4.4,2.1,7.4204947,46.64310954,31.09540636,14.8409894,0.274725275,19.2079696
3.75,397,0.397,397,1.7,6.6,2.4,1.2,14.28571429,55.46218487,20.16806723,10.08403361,0.529265255,42.99675283
4.25,450,0.45,450,1.33,4.6,1.8,0.9,15.41135574,53.30243337,20.85747393,10.42873696,0.539772727,43.97875956
4.75,496,0.496,496,1,7.1,5.3,2.7,6.21118012,44.09937888,32.91925466,16.77018634,0.23046785,15.07176166
5.25,535,0.535,535,1.23,10.3,10,5.2,4.60157127,38.53348298,37.41114852,19.45379723,0.163346614,8.79874893
5.75,574,0.574,574,0.76,53.4,3,1.6,1.29339687,90.8781484,5.10551396,2.72294078,0.286792453,20.33574326
6.25,614,0.614,614,0.92,35.9,0.9,0.5,2.40711669,93.92987964,2.35478807,1.30821559,0.61869536,51.35470652
6.75,653,0.653,653,0.46,23.1,0.8,0.5,1.85036203,92.92035398,3.21802092,2.01126307,0.477178423,38.1288246
7.25,692,0.692,692,0.61,59,6.4,3.6,0.87631087,84.75793708,9.19408131,5.17167074,0.131408875,5.813913597
7.75,731,0.731,731,0.49,6.6,6.3,3.7,2.86717379,38.61907548,36.86366296,21.65008777,0.10989011,3.802814008
8.25,770,0.77,770,0.77,9,7.3,4.2,3.62012224,42.31311707,34.3206394,19.7461213,0.143415906,6.936065993
8.75,809,0.809,809,0.72,6.3,6.1,3.6,4.3062201,37.67942584,36.48325359,21.53110048,0.157790927,8.27952589
9.25,849,0.849,849,0.64,7.2,6.4,3.5,3.60766629,40.58624577,36.07666291,19.72942503,0.136986301,6.335168352
9.75,888,0.888,888,0.62,5,7.8,4.6,3.44062153,27.74694784,43.28523862,25.52719201,0.112034695,4.003242487
13.5,1181,1.181,1181,0,0,6.8,4.2,0,0,61.81818182,38.18181818,0,-6.46728972
16.5,1536,1.536,1536,0,0,5.3,3.9,0,0,57.60869565,42.39130435,0,-6.46728972
16.75,1615,1.615,1615,0,7.1,5.3,3,0,46.1038961,34.41558442,19.48051948,0,-6.46728972
18.25,2091,2.091,2091,0,5.8,6.1,3.8,0,36.94267516,38.85350318,24.20382166,0,-6.46728972
19.25,2409,2.409,2409,0,7.2,6.2,3.8,0,41.86046512,36.04651163,22.09302326,0,-6.46728972
21.75,3202,3.202,3202,0.7,6.8,6.3,3.9,3.95480226,38.4180791,35.59322034,22.03389831,0.149925037,7.544396026
22.25,3361,3.361,3361,0,5.5,5.1,3.3,0,39.56834532,36.69064748,23.74100719,0,-6.46728972
23.25,3678,3.678,3678,0,5.8,5.2,3.2,0,40.84507042,36.61971831,22.53521127,0,-6.46728972
23.75,3837,3.837,3837,0,6.7,5.5,3.4,0,42.94871795,35.25641026,21.79487179,0,-6.46728972
24.75,4155,4.155,4155,0,6.4,5.7,3.5,0,41.02564103,36.53846154,22.43589744,0,-6.46728972
26.75,4789,4.789,4789,0,6.2,5,3,0,43.66197183,35.21126761,21.12676056,0,-6.46728972
28.25,5098,5.098,5098,0,6.2,5.1,3.1,0,43.05555556,35.41666667,21.52777778,0,-6.46728972
30.75,5335,5.335,5335,0.61,7.3,6.9,4.2,3.20883745,38.40084166,36.29668595,22.09363493,0.123058301,5.033486111
33.25,5572,5.572,5572,0.05,0,10.6,7.2,0.28011204,0,59.3837535,40.33613445,0.007431629,-5.772744952
33.75,5619,5.619,5619,0.05,0,10.6,6.3,0.29498525,0,62.53687316,37.16814159,0.007431629,-5.772744952
34.25,5667,5.667,5667,0.05,0,12.5,8.4,0.23866348,0,59.66587112,40.09546539,0.006309148,-5.877649695
34.75,5714,5.714,5714,0.05,0,12.5,7.8,0.24570025,0,61.42506143,38.32923833,0.006309148,-5.877649695
35.25,5761,5.761,5761,0.63,0,11.8,7.4,3.17700454,0,59.50579929,37.31719617,0.078125,0.83411215
35.75,5809,5.809,5809,0.56,16.48,11.1,7.6,1.56687185,46.11080022,31.0576385,21.26468942,0.074142725,0.461936892
36.25,5856,5.856,5856,0,0,11.9,7.3,0,0,61.97916667,38.02083333,0,-6.46728972
36.75,5903,5.903,5903,0,0,13.9,9.2,0,0,60.17316017,39.82683983,0,-6.46728972
37.25,5951,5.951,5951,0,0,14.4,9.1,0,0,61.27659574,38.72340426,0,-6.46728972
37.75,5998,5.998,5998,0.05,0,15.4,9.9,0.19723866,0,60.7495069,39.05325444,0.005127153,-5.988116504
38.25,6046,6.046,6046,0,0,12.6,8.9,0,0,58.60465116,41.39534884,0,-6.46728972
38.75,6093,6.093,6093,0,0,17.3,10.9,0,0,61.34751773,38.65248227,0,-6.46728972
39.25,6140,6.14,6140,0,0,13.5,8.6,0,0,61.08597285,38.91402715,0,-6.46728972
39.75,6188,6.188,6188,0.56,13.67,13,8.8,1.55426034,37.94060505,36.08104357,24.42409104,0.064,-0.485981308
40.25,6274,6.274,6274,0,0,10.3,7.2,0,0,58.85714286,41.14285714,0,-6.46728972
40.75,6399,6.399,6399,0,0,11.7,8.3,0,0,58.5,41.5,0,-6.46728972
42.5,6838,6.838,6838,1.02,14.41,8.7,5.8,3.40795189,48.14567324,29.06782492,19.37854995,0.156343804,8.144280723
43.5,7088,7.088,7088,1.82,15.58,10.6,7.3,5.15580737,44.13597734,30.02832861,20.67988669,0.214596064,13.58841722
44.5,7339,7.339,7339,0,0,15.1,10.6,0,0,58.75486381,41.24513619,0,-6.46728972
46.5,7472,7.472,7472,0,14.01,21.9,14.7,0,27.68227623,43.27208062,29.04564315,0,-6.46728972
48.5,7605,7.605,7605,0,0,18.4,13.6,0,0,57.5,42.5,0,-6.46728972
50.5,7738,7.738,7738,0,0,17.2,13,0,0,56.95364238,43.04635762,0,-6.46728972
52.5,7871,7.871,7871,0,0,19.2,14,0,0,57.8313253,42.1686747,0,-6.46728972
54.5,8004,8.004,8004,0,0,49.5,35.3,0,0,58.37264151,41.62735849,0,-6.46728972
59.5,8346,8.346,8346,0,23.96,44.6,33.6,0,23.45340642,43.65700861,32.88958496,0,-6.46728972
70.5,9103,9.103,9103,0,0,52.7,40.1,0,0,56.7887931,43.2112069,0,-6.46728972
83.25,9902,9.902,9885,1.11,19.3,16.9,17.8,2.01415351,35.02086736,30.66594085,32.29903829,0.09441184,2.356246706
83.75,9923,9.923,9903,1.64,44.7,57.8,60,0.99914707,27.23285001,35.21384184,36.55416108,0.043096652,-2.439565222
84.75,9964,9.964,9938,2.35,94,158.8,222,0.4925076,19.70030389,33.28093891,46.52624961,0.022950564,-4.322377242
85.75,10004,10.004,9972,2.1,56.9,42.7,56.3,1.32911392,36.01265823,27.02531646,35.63291139,0.072411296,0.300121137
87.75,10086,10.086,10042,2.63,52.2,22.2,30,2.45725498,48.77137251,20.74184808,28.02952443,0.158281175,8.325343437
88.75,10127,10.127,10076,2.89,85.9,72.1,101.4,1.10183385,32.75000953,27.48865759,38.65949903,0.059818268,-0.876797348
89.25,10147,10.147,10094,2.51,56.1,85.6,128.6,0.92005425,20.56376233,31.37714893,47.13903449,0.044473582,-2.310880222
92.25,10270,10.27,10198,2.65,14.7,3.2,4.6,10.53677932,58.44930417,12.72365805,18.29025845,0.567938277,46.61105392
93.25,10310,10.31,10233,2.83,53,21.1,29.3,2.66403088,49.89174433,19.86256236,27.58166243,0.175525647,9.936976317
94.25,10351,10.351,10267,3.15,0,36.8,53.2,3.38164251,0,39.50617284,57.11218465,0.119617225,4.711890176
96.25,10433,10.433,10337,3.18,32,17.2,25.9,4.06234032,40.87889627,21.97240675,33.08635667,0.226883562,14.73678146
97.25,10474,10.474,10372,3.55,95.6,178.7,253.3,0.6683611,17.9986821,33.64398004,47.68897675,0.030568926,-3.610380704
98.25,10514,10.514,10406,3.28,71.1,63.4,86.5,1.46245764,31.70144462,28.26823613,38.5678616,0.07588728,0.624979404
100.25,10596,10.596,10476,4.32,70.4,25.7,30.6,3.29720653,53.73225462,19.6153259,23.35521294,0.210618692,13.21670023
102.25,10678,10.678,10545,2.43,59.6,13.6,14.4,2.6991003,66.2001555,15.10607575,15.99466844,0.220949264,14.18217416
103.25,10718,10.718,10580,3.71,40.6,4.3,3.8,7.07880176,77.46613242,8.20454112,7.25052471,0.577971647,47.54875203
104.25,10759,10.759,10615,4.37,35.2,2.1,1.8,10.05291005,80.97538532,4.83091787,4.14078675,0.767609345,65.27190138
105.25,10800,10.8,10649,2.76,41.8,4.2,3.9,5.24116977,79.37713635,7.97569313,7.40600076,0.51054384,41.24708787
106.25,10841,10.841,10684,2.9,62.2,11.8,11.8,3.26944758,70.12401353,13.30326945,13.30326945,0.280627056,19.75953797
108.25,10922,10.922,10754,3.24,49,5.6,5.8,5.09113765,76.99560025,8.79949717,9.11376493,0.478723404,38.27321535
109.75,10983,10.983,10806,3.06,47.1,21.2,25.6,3.15594059,48.57673267,21.86468647,26.40264026,0.186403509,10.95359895
119.5,11406,11.406,11144,7.8,36.8,105.8,146.5,2.62714719,12.39474571,35.6348939,49.3432132,0.104762672,3.323614229
122.5,11523,11.523,11248,10,62.9,90.9,101.5,3.76931775,23.70900867,34.26309838,38.2585752,0.148661305,7.426290182
123.5,11562,11.562,11283,12.7,62.6,105.5,122.7,4.184514,20.62602965,34.76112026,40.42833608,0.16042443,8.525647662
124.5,11602,11.602,11318,8.4,56.9,44.1,46.9,5.37428023,36.40435061,28.21497121,30.00639795,0.232153221,15.229273
130.5,11836,11.836,11526,10.6,76.6,42.6,30.3,6.62086196,47.84509681,26.60836977,18.92567146,0.283134783,19.99390494
132.5,11915,11.915,11596,12.7,94.1,17.1,14.8,9.15645278,67.8442682,12.32876712,10.6705119,0.541047161,44.09786547
133.5,11954,11.954,11630,16.9,122.3,10.2,11,10.5361596,76.24688279,6.35910224,6.85785536,0.724513419,61.24424472
136.5,12062,12.062,11754,35.5,198,5.6,3.9,14.6090535,81.48148148,2.30452675,1.60493827,0.909603362,78.54237025
139.5,12165,12.165,11888,28.5,175.4,3.4,2.4,13.59084406,83.64329995,1.62136385,1.14449213,0.930095947,80.45756512
142.5,12268,12.268,12021,21.54,104.5,1.6,1.3,16.70544439,81.04544749,1.24088723,1.00822088,0.955288805,82.81203782
145.5,12371,12.371,12155,15.8,82.2,1.1,0.9,15.8,82.2,1.1,0.9,0.957986373,83.06414702
148.5,12474,12.474,12288,36.33,218.7,4.3,3,13.84896886,83.3682766,1.63915679,1.14359776,0.930606228,80.50525496
151.5,12577,12.577,12422,13.72,77.3,1.2,0.6,14.78129713,83.27946563,1.29282482,0.64641241,0.947777708,82.11006615
154.5,12680,12.68,12556,12.74,71.6,1,1,14.75561733,82.92795923,1.15821172,1.15821172,0.952884921,82.58737579
157.5,12783,12.783,12689,10.5,67.1,1.1,1,13.17440402,84.19071518,1.38017566,1.25470514,0.938066692,81.20249456
160.5,12886,12.886,12823,19.59,137.9,8.3,9,11.207735,78.89467361,4.74855541,5.14903599,0.789355114,67.30421622
163.5,12989,12.989,12956,17.47,128.6,11.4,13.2,10.2361282,75.35009082,6.67955704,7.73422394,0.708671039,59.76364852
166.5,13092,13.092,13090,9.8,88.5,21.9,23.8,6.80555556,61.45833333,15.20833333,16.52777778,0.415215859,32.33793071
170.5,13116,13.116,13116,8.25,51.3,52.8,64.8,4.65707028,28.95850974,29.80524979,36.57917019,0.198806072,12.11271697
181.5,13160,13.16,13160,6.26,32.2,41.2,59.6,4.49518886,23.12221744,29.58494902,42.79764469,0.194301674,11.69174522
191.5,13199,13.199,13199,5.05,35.6,26.1,36.4,4.89578284,34.51284537,25.30295686,35.28841493,0.235009781,15.49624123
202.5,13243,13.243,13243,10.29,55.9,26.6,33.4,8.15437039,44.29828037,21.07932483,26.46802441,0.380363919,29.08074012
211.5,13278,13.278,13278,6.25,39.7,14.6,17.5,8.00768738,50.86483024,18.70595772,22.42152466,0.404489091,31.33542904
221.5,13318,13.318,13318,7.87,45.4,15.4,16.4,9.25120489,53.36781474,18.10273892,19.27824145,0.447716556,35.37537908
232.5,13362,13.362,13362,4.89,36.8,13.5,13.2,7.15016815,53.80903641,19.73972803,19.30106741,0.365157908,27.65961761
242.5,13401,13.401,13401,6.4,35.7,14.9,11.6,9.32944606,52.04081633,21.72011662,16.90962099,0.405209346,31.40274262
254.5,13449,13.449,13449,8.5,58.8,102.5,153.8,2.62669963,18.17058096,31.67490729,47.52781211,0.116340917,4.405693224
264.5,13620,13.62,13613,14.87,81.5,17.7,20.5,11.05001115,60.56327562,13.15300587,15.23370736,0.571454023,46.93962833
274.5,13801,13.801,13792,11.94,56.7,33.4,38.3,8.50790936,40.40188115,23.79934445,27.29086504,0.361944559,27.3593046
285.5,14000,14,13988,10.39,56.7,23.5,26.2,8.89630962,48.54867711,20.12158575,22.43342752,0.412480648,32.08230359
296.5,14199,14.199,14184,8.31,44.9,14.7,16.2,9.87991915,53.38247533,17.4771133,19.26049221,0.473042695,37.74230796
306.5,14381,14.381,14362,8.97,47.1,43.1,57.4,5.72906687,30.08239126,27.52762343,36.66091844,0.248289074,16.73729668
315.5,14538,14.538,14514,6.86,27.8,25.4,34.6,7.24698922,29.36826537,26.83287555,36.55186985,0.300053263,21.57507128
327.5,14741,14.741,14707,10.02,48.6,15.8,19.9,10.62340967,51.52671756,16.75148431,21.09838846,0.501603934,40.41158261
337.5,14910,14.91,14868,16.19,59.5,13.7,15.4,15.44994751,56.78022712,13.07376658,14.69605878,0.652273582,54.49285814
347.5,15079,15.079,15029,5.98,24.4,8.8,6.5,13.0910683,53.4150613,19.26444834,14.22942207,0.518852415,42.02359018
368.5,15434,15.434,15367,4.53,25.1,29.3,39.3,4.61162578,25.55227527,29.8279548,40.00814415,0.19703696,11.94737945
380.5,15637,15.637,15560,5.55,31.9,12.4,9.6,9.33557611,53.65853659,20.85786375,16.14802355,0.415539112,32.36814127
385.5,15721,15.721,15641,12.5,39.5,7.8,5.2,19.23076923,60.76923077,12,8,0.717813254,60.61806109
